,open,high,low,close,volume
2023-02-18 09:00:00,597.0,599.0,581.0,595.0,10005190.67300251
2023-02-19 09:00:00,596.0,620.0,593.0,610.0,27225143.98858231
2023-02-20 09:00:00,610.0,615.0,590.0,615.0,14248011.48117592
2023-02-21 09:00:00,615.0,629.0,588.0,602.0,21779368.65234127
2023-02-22 09:00:00,602.0,603.0,567.0,594.0,9426647.42373621
2023-02-23 09:00:00,594.0,595.0,577.0,593.0,5177273.91667842
2023-02-24 09:00:00,593.0,621.0,587.0,611.0,19738819.91773111
2023-02-25 09:00:00,611.0,617.0,570.0,597.0,9792864.97067193
2023-02-26 09:00:00,596.0,599.0,580.0,597.0,4475242.22839955
2023-02-27 09:00:00,596.0,596.0,582.0,596.0,4953414.24826452
2023-02-28 09:00:00,596.0,610.0,586.0,606.0,5582522.50215847
2023-03-01 09:00:00,606.0,606.0,592.0,603.0,5920922.35897701
2023-03-02 09:00:00,603.0,604.0,566.0,581.0,7405620.38342289
2023-03-03 09:00:00,580.0,590.0,548.0,564.0,19694373.89996295
2023-03-04 09:00:00,563.0,568.0,554.0,557.0,2709208.07224923
2023-03-05 09:00:00,559.0,564.0,550.0,558.0,2173503.85651158
2023-03-06 09:00:00,556.0,557.0,528.0,541.0,3364202.53566751
2023-03-07 09:00:00,541.0,545.0,525.0,533.0,2375423.77695876
2023-03-08 09:00:00,531.0,570.0,510.0,515.0,33536407.04776608
2023-03-09 09:00:00,514.0,515.0,484.0,493.0,6298664.51661894
2023-03-10 09:00:00,491.0,498.0,460.0,497.0,5936386.87368885
2023-03-11 09:00:00,495.0,505.0,475.0,490.0,2720404.12105143
2023-03-12 09:00:00,491.0,514.0,470.0,508.0,10639221.13694399
2023-03-13 09:00:00,507.0,547.0,493.0,545.0,9616084.57259175
2023-03-14 09:00:00,544.0,572.0,525.0,571.0,12054460.45153585
2023-03-15 09:00:00,570.0,628.0,559.0,608.0,72483856.82501426
2023-03-16 09:00:00,607.0,813.0,574.0,596.0,194969527.43172178
2023-03-17 09:00:00,596.0,607.0,578.0,603.0,50859582.73247828
2023-03-18 09:00:00,604.0,604.0,576.0,577.0,21255275.99434739
2023-03-19 09:00:00,578.0,580.0,558.0,577.0,10376307.93262731
2023-03-20 09:00:00,576.0,577.0,556.0,560.0,7512340.43167233
2023-03-21 09:00:00,560.0,598.0,541.0,568.0,52331598.10992021
2023-03-22 09:00:00,567.0,567.0,535.0,550.0,6452088.99051656
2023-03-23 09:00:00,548.0,558.0,540.0,556.0,3823207.57448487
2023-03-24 09:00:00,557.0,569.0,553.0,559.0,9139232.30043849
2023-03-25 09:00:00,558.0,563.0,553.0,554.0,2851171.87800487
2023-03-26 09:00:00,554.0,575.0,553.0,569.0,21782556.44332841
2023-03-27 09:00:00,569.0,570.0,524.0,540.0,6306331.74382669
2023-03-28 09:00:00,539.0,541.0,518.0,541.0,3979250.91289203
2023-03-29 09:00:00,540.0,563.0,534.0,561.0,4710238.63035541
2023-03-30 09:00:00,561.0,584.0,553.0,575.0,19676075.72039459
2023-03-31 09:00:00,574.0,578.0,548.0,577.0,8092086.57643285
2023-04-01 09:00:00,575.0,588.0,565.0,586.0,6996879.32793974
2023-04-02 09:00:00,585.0,587.0,564.0,570.0,5066763.56725414
2023-04-03 09:00:00,569.0,570.0,552.0,560.0,4744039.21596946
