,open,high,low,close,volume
2023-02-18 09:00:00,661.0,666.0,644.0,659.0,7333191.36654867
2023-02-19 09:00:00,659.0,666.0,646.0,658.0,6604537.91129344
2023-02-20 09:00:00,658.0,680.0,647.0,674.0,14004609.55468613
2023-02-21 09:00:00,674.0,771.0,652.0,674.0,71240970.78473654
2023-02-22 09:00:00,674.0,699.0,641.0,666.0,16984152.09954186
2023-02-23 09:00:00,666.0,668.0,647.0,666.0,6454737.92995766
2023-02-24 09:00:00,666.0,694.0,660.0,693.0,22944071.37518855
2023-02-25 09:00:00,693.0,693.0,651.0,667.0,7364996.86016406
2023-02-26 09:00:00,667.0,670.0,656.0,665.0,3369392.16829756
2023-02-27 09:00:00,665.0,671.0,653.0,661.0,5137052.76167838
2023-02-28 09:00:00,661.0,661.0,647.0,653.0,3452334.30967375
2023-03-01 09:00:00,653.0,662.0,643.0,659.0,3399384.60945527
2023-03-02 09:00:00,659.0,675.0,637.0,650.0,14095211.36294987
2023-03-03 09:00:00,649.0,649.0,596.0,609.0,7371036.18152378
2023-03-04 09:00:00,609.0,635.0,603.0,610.0,9481726.63863998
2023-03-05 09:00:00,610.0,629.0,605.0,614.0,4770486.35463055
2023-03-06 09:00:00,613.0,623.0,583.0,603.0,4495242.55767292
2023-03-07 09:00:00,603.0,605.0,568.0,581.0,4018798.09969196
2023-03-08 09:00:00,581.0,597.0,550.0,558.0,6590878.26178273
2023-03-09 09:00:00,557.0,567.0,521.0,527.0,3708652.70293155
2023-03-10 09:00:00,528.0,530.0,495.0,527.0,8002512.22562078
2023-03-11 09:00:00,528.0,538.0,488.0,513.0,4831038.15268177
2023-03-12 09:00:00,513.0,532.0,485.0,530.0,4009225.10550827
2023-03-13 09:00:00,530.0,564.0,510.0,558.0,6780286.44249149
2023-03-14 09:00:00,560.0,597.0,539.0,581.0,11833913.90756891
2023-03-15 09:00:00,583.0,624.0,547.0,557.0,27018552.48995197
2023-03-16 09:00:00,562.0,623.0,560.0,582.0,45263323.95473744
2023-03-17 09:00:00,582.0,598.0,571.0,597.0,9657988.01539073
2023-03-18 09:00:00,597.0,599.0,578.0,582.0,5694879.73112045
2023-03-19 09:00:00,582.0,595.0,567.0,590.0,4542067.73959406
2023-03-20 09:00:00,591.0,631.0,589.0,592.0,33538109.41865528
2023-03-21 09:00:00,591.0,592.0,544.0,571.0,7531075.68265226
2023-03-22 09:00:00,571.0,590.0,542.0,554.0,11946486.77668831
2023-03-23 09:00:00,554.0,568.0,544.0,568.0,3072796.64060575
2023-03-24 09:00:00,566.0,571.0,550.0,553.0,2777585.12899636
2023-03-25 09:00:00,553.0,555.0,545.0,551.0,1978473.68073968
2023-03-26 09:00:00,551.0,555.0,539.0,554.0,2450106.16110857
2023-03-27 09:00:00,555.0,555.0,516.0,526.0,3832145.45753583
2023-03-28 09:00:00,525.0,546.0,510.0,531.0,2651966.15898833
2023-03-29 09:00:00,530.0,559.0,530.0,559.0,5460184.68808497
2023-03-30 09:00:00,559.0,563.0,539.0,551.0,5437387.21946881
2023-03-31 09:00:00,550.0,558.0,535.0,558.0,3679522.28483099
2023-04-01 09:00:00,558.0,567.0,549.0,565.0,4098366.80573434
2023-04-02 09:00:00,566.0,576.0,547.0,555.0,3858336.74241247
2023-04-03 09:00:00,554.0,558.0,541.0,551.0,2980076.74674178
2023-04-04 09:00:00,551.0,563.0,546.0,562.0,2646958.80165041
2023-04-05 09:00:00,562.0,585.0,556.0,584.0,6696201.67769923
2023-04-06 09:00:00,583.0,606.0,568.0,593.0,16121791.46565025
2023-04-07 09:00:00,594.0,674.0,563.0,576.0,46528985.21049874
2023-04-08 09:00:00,576.0,576.0,562.0,566.0,5058619.69398289
2023-04-09 09:00:00,566.0,566.0,545.0,553.0,3692325.42074811
2023-04-10 09:00:00,554.0,596.0,550.0,571.0,41385949.76056204
2023-04-11 09:00:00,570.0,584.0,566.0,573.0,13035459.22760615
2023-04-12 09:00:00,574.0,586.0,563.0,566.0,14332517.5644895
2023-04-13 09:00:00,565.0,581.0,559.0,572.0,4648245.56622787
2023-04-14 09:00:00,571.0,578.0,564.0,574.0,4393889.63004257
2023-04-15 09:00:00,574.0,574.0,567.0,573.0,1761417.96936691
2023-04-16 09:00:00,574.0,579.0,569.0,576.0,2341523.14896594
2023-04-17 09:00:00,575.0,577.0,565.0,569.0,3685977.19475423
2023-04-18 09:00:00,570.0,576.0,565.0,572.0,5086158.46969746
2023-04-19 09:00:00,571.0,573.0,543.0,545.0,5020282.42728261
2023-04-20 09:00:00,548.0,634.0,543.0,590.0,223704305.2621765
2023-04-21 09:00:00,589.0,902.0,587.0,688.0,990867680.6507963
2023-04-22 09:00:00,687.0,701.0,608.0,631.0,182256980.17781115
2023-04-23 09:00:00,631.0,688.0,591.0,603.0,144177986.91933662
2023-04-24 09:00:00,603.0,604.0,558.0,574.0,26982872.73844553
2023-04-25 09:00:00,574.0,588.0,537.0,565.0,29209288.68257523
2023-04-26 09:00:00,564.0,574.0,550.0,557.0,17689826.15428444
2023-04-27 09:00:00,556.0,560.0,545.0,558.0,8528671.39303996
2023-04-28 09:00:00,557.0,560.0,548.0,553.0,6960453.77237031
2023-04-29 09:00:00,553.0,556.0,548.0,555.0,4374824.22777114
2023-04-30 09:00:00,555.0,556.0,547.0,550.0,3103394.60574667
2023-05-01 09:00:00,549.0,551.0,527.0,528.0,5765456.91151452
2023-05-02 09:00:00,528.0,563.0,517.0,529.0,40526648.71234322
2023-05-03 09:00:00,529.0,530.0,511.0,519.0,8215826.17033887
2023-05-04 09:00:00,519.0,522.0,511.0,516.0,6020489.98517935
2023-05-05 09:00:00,515.0,554.0,514.0,524.0,45239601.93788027
2023-05-06 09:00:00,523.0,525.0,506.0,511.0,8032434.01403079
2023-05-07 09:00:00,511.0,524.0,508.0,511.0,5536640.52336612
2023-05-08 09:00:00,510.0,512.0,481.0,487.0,6431391.3757203
2023-05-09 09:00:00,487.0,497.0,483.0,494.0,3883675.25614788
2023-05-10 09:00:00,493.0,500.0,484.0,495.0,6377694.86378488
2023-05-11 09:00:00,495.0,511.0,488.0,503.0,15747207.81657807
2023-05-12 09:00:00,502.0,503.0,466.0,489.0,9302449.62050406
2023-05-13 09:00:00,489.0,490.0,480.0,484.0,2620377.46994101
2023-05-14 09:00:00,484.0,486.0,477.0,484.0,2769826.27798479
2023-05-15 09:00:00,483.0,486.0,475.0,483.0,3258283.22415864
2023-05-16 09:00:00,482.0,494.0,478.0,485.0,5770831.19317866
2023-05-17 09:00:00,484.0,490.0,477.0,488.0,4146711.10947339
2023-05-18 09:00:00,488.0,489.0,481.0,483.0,2164159.80012471
2023-05-19 09:00:00,483.0,490.0,482.0,486.0,2796760.26185285
2023-05-20 09:00:00,487.0,487.0,483.0,485.0,1057674.60574849
