,open,high,low,close,volume
2023-03-22 09:00:00,622.0,629.0,548.0,562.0,1141317883.626876
2023-03-23 09:00:00,561.0,602.0,546.0,585.0,798706583.1211637
2023-03-24 09:00:00,585.0,586.0,559.0,570.0,353693471.2330309
2023-03-25 09:00:00,570.0,619.0,563.0,592.0,732539369.5661103
2023-03-26 09:00:00,592.0,617.0,587.0,595.0,376647608.52696943
2023-03-27 09:00:00,596.0,649.0,591.0,638.0,1076742009.229155
2023-03-28 09:00:00,637.0,700.0,620.0,679.0,1103338689.5022175
2023-03-29 09:00:00,679.0,768.0,679.0,715.0,1388457573.732776
2023-03-30 09:00:00,715.0,740.0,690.0,706.0,835594435.2846347
2023-03-31 09:00:00,707.0,725.0,700.0,709.0,406233746.04715693
2023-04-01 09:00:00,709.0,710.0,658.0,674.0,535138554.1223811
2023-04-02 09:00:00,673.0,699.0,662.0,685.0,433892870.21072626
2023-04-03 09:00:00,685.0,695.0,643.0,656.0,376251366.0558821
2023-04-04 09:00:00,656.0,669.0,645.0,663.0,252776818.87166765
2023-04-05 09:00:00,663.0,693.0,658.0,667.0,306584245.59258634
2023-04-06 09:00:00,666.0,674.0,654.0,665.0,209325023.92126575
2023-04-07 09:00:00,665.0,683.0,660.0,679.0,208085443.15312296
2023-04-08 09:00:00,679.0,679.0,668.0,669.0,88666905.8027291
2023-04-09 09:00:00,669.0,675.0,661.0,667.0,80937793.22394957
2023-04-10 09:00:00,666.0,684.0,662.0,681.0,117138900.85890327
2023-04-11 09:00:00,680.0,694.0,675.0,685.0,172077478.32472214
2023-04-12 09:00:00,684.0,686.0,666.0,669.0,173297946.3960173
2023-04-13 09:00:00,669.0,677.0,667.0,672.0,115325310.40961593
2023-04-14 09:00:00,672.0,711.0,671.0,682.0,310158566.3671521
2023-04-15 09:00:00,682.0,691.0,678.0,684.0,102970409.76904936
2023-04-16 09:00:00,684.0,688.0,678.0,681.0,86062237.09492773
2023-04-17 09:00:00,681.0,682.0,668.0,672.0,136204037.40846208
2023-04-18 09:00:00,672.0,703.0,669.0,693.0,170351307.98623627
2023-04-19 09:00:00,693.0,700.0,646.0,653.0,390948460.54593015
2023-04-20 09:00:00,653.0,662.0,617.0,632.0,283088404.10875094
2023-04-21 09:00:00,632.0,639.0,588.0,598.0,308566655.6405961
2023-04-22 09:00:00,598.0,637.0,591.0,631.0,248771077.72495076
2023-04-23 09:00:00,631.0,631.0,612.0,620.0,110311619.8377061
2023-04-24 09:00:00,621.0,648.0,601.0,615.0,294528222.2448523
2023-04-25 09:00:00,615.0,631.0,602.0,628.0,183039196.27665946
2023-04-26 09:00:00,628.0,643.0,590.0,617.0,307821357.1587908
2023-04-27 09:00:00,617.0,627.0,611.0,622.0,183782223.1206701
2023-04-28 09:00:00,622.0,643.0,618.0,638.0,225359963.61210847
2023-04-29 09:00:00,638.0,648.0,631.0,638.0,114762656.32622172
